,Year,Month,Departure station,Arrival station,Average travel time (min)
319,2016,10.0,PARIS MONTPARNASSE,POITIERS,108.933
320,2016,10.0,LILLE,PARIS NORD,63.3174603175
321,2016,10.0,ITALIE,PARIS LYON,259.852941176
322,2017,10.0,PARIS LYON,MARSEILLE ST CHARLES,198.125
323,2017,10.0,ANGOULEME,PARIS MONTPARNASSE,124.273972603
324,2017,10.0,PARIS MONTPARNASSE,NANTES,125.411985019
325,2017,10.0,LYON PART DIEU,LILLE,186.246710526
326,2017,10.0,PARIS EST,STUTTGART,182.503563218
327,2017,5.0,PARIS EST,NANCY,95.1510791367
328,2017,5.0,PARIS LYON,MONTPELLIER,207.33673469400003
329,2017,5.0,NICE VILLE,PARIS LYON,345.018867925
330,2017,5.0,PARIS MONTPARNASSE,ANGERS SAINT LAUD,99.8658536585
331,2017,5.0,LYON PART DIEU,MARSEILLE ST CHARLES,105.881742739
332,2017,2.0,PARIS LYON,BESANCON FRANCHE COMTE TGV,128.772727273
333,2017,2.0,MARSEILLE ST CHARLES,LILLE,301.292682927
334,2017,2.0,STUTTGART,PARIS EST,171.565298507
335,2017,6.0,ANNECY,PARIS LYON,224.240641711
336,2017,6.0,RENNES,PARIS MONTPARNASSE,133.11265164600002
337,2017,6.0,STUTTGART,PARIS EST,186.979166667
338,2015,5.0,AVIGNON TGV,PARIS LYON,161.988536155
339,2015,5.0,PARIS LYON,ANNECY,222.13
340,2015,7.0,PARIS EST,METZ,85.67218543050001
341,2015,7.0,METZ,PARIS EST,86.8866906475
342,2015,7.0,LYON PART DIEU,PARIS LYON,120.528810409
343,2015,7.0,POITIERS,PARIS MONTPARNASSE,107.102589641
344,2015,7.0,PARIS MONTPARNASSE,VANNES,200.724489796
345,2015,7.0,PARIS NORD,DUNKERQUE,119.85
346,2015,7.0,PARIS NORD,LILLE,63.6513409962
347,2015,7.0,LYON PART DIEU,LILLE,188.473309609
348,2015,7.0,LYON PART DIEU,MONTPELLIER,110.336927224
349,2015,7.0,STRASBOURG,NANTES,318.269230769
350,2015,6.0,PARIS EST,STRASBOURG,141.720930233
